Package,LibPath,Version,Priority,Built
pkgbuild,/Users/jenny/resources/R/library,1.0.2.9000,NA,3.5.1
pkgcache,/Users/jenny/resources/R/library,1.0.0.9001,NA,3.5.1
pkgconfig,/Users/jenny/resources/R/library,2.0.2,NA,3.5.0
pkgdepends,/Users/jenny/resources/R/library,0.0.0.9002,NA,3.5.1
pkgdown,/Users/jenny/resources/R/library,1.2.0.9000,NA,3.5.1
pkgload,/Users/jenny/resources/R/library,1.0.2,NA,3.5.0
PKI,/Users/jenny/resources/R/library,0.1-5.1,NA,3.5.0
plm,/Users/jenny/resources/R/library,1.6-6,NA,3.5.0
plogr,/Users/jenny/resources/R/library,0.2.0,NA,3.5.0
plyr,/Users/jenny/resources/R/library,1.8.4,NA,3.5.0
png,/Users/jenny/resources/R/library,0.1-7,NA,3.5.0
poLCA,/Users/jenny/resources/R/library,1.4.1,NA,3.5.0
polynom,/Users/jenny/resources/R/library,1.3-9,NA,3.5.0
prabclus,/Users/jenny/resources/R/library,2.2-6,NA,3.5.0
praise,/Users/jenny/resources/R/library,1.0.0,NA,3.5.0
prettycode,/Users/jenny/resources/R/library,1.0.2,NA,3.5.0
prettyunits,/Users/jenny/resources/R/library,1.0.2,NA,3.5.0
processx,/Users/jenny/resources/R/library,3.2.1,NA,3.5.0
prodlim,/Users/jenny/resources/R/library,2018.04.18,NA,3.5.0
profmem,/Users/jenny/resources/R/library,0.5.0,NA,3.5.0
progress,/Users/jenny/resources/R/library,1.2.0.9000,NA,3.5.1
promises,/Users/jenny/resources/R/library,1.0.1,NA,3.5.0
ps,/Users/jenny/resources/R/library,1.2.1,NA,3.5.1
psych,/Users/jenny/resources/R/library,1.8.10,NA,3.5.0
purrr,/Users/jenny/resources/R/library,0.2.5,NA,3.5.0
quadprog,/Users/jenny/resources/R/library,1.5-5,NA,3.5.0
quantmod,/Users/jenny/resources/R/library,0.4-13,NA,3.5.0
quantreg,/Users/jenny/resources/R/library,5.36,NA,3.5.0
R6,/Users/jenny/resources/R/library,2.3.0,NA,3.5.0
randtoolbox,/Users/jenny/resources/R/library,1.17.1,NA,3.5.0
rap,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.5.1
RApiDatetime,/Users/jenny/resources/R/library,0.0.4,NA,3.5.0
rappdirs,/Users/jenny/resources/R/library,0.3.1,NA,3.5.0
rcmdcheck,/Users/jenny/resources/R/library,1.3.2.9000,NA,3.5.1
RColorBrewer,/Users/jenny/resources/R/library,1.1-2,NA,3.5.0
Rcpp,/Users/jenny/resources/R/library,1.0.0,NA,3.5.0
RcppArmadillo,/Users/jenny/resources/R/library,0.9.200.4.0,NA,3.5.0
RcppEigen,/Users/jenny/resources/R/library,0.3.3.4.0,NA,3.5.0
RcppParallel,/Users/jenny/resources/R/library,4.4.1,NA,3.5.0
RcppRoll,/Users/jenny/resources/R/library,0.3.0,NA,3.5.0
RCurl,/Users/jenny/resources/R/library,1.95-4.11,NA,3.5.0
Rdpack,/Users/jenny/resources/R/library,0.10-1,NA,3.5.0
readr,/Users/jenny/resources/R/library,1.3.1,NA,3.5.1
readxl,/Users/jenny/resources/R/library,1.2.0,NA,3.5.0
recipes,/Users/jenny/resources/R/library,0.1.4,NA,3.5.0
rem,/Users/jenny/resources/R/library,1.3.1,NA,3.5.0
rematch,/Users/jenny/resources/R/library,1.0.1,NA,3.5.0
rematch2,/Users/jenny/resources/R/library,2.0.1,NA,3.5.0
remotes,/Users/jenny/resources/R/library,2.0.2.9000,NA,3.5.1
reprex,/Users/jenny/resources/R/library,0.2.1.9000,NA,3.5.1
reshape2,/Users/jenny/resources/R/library,1.4.3,NA,3.5.0
reticulate,/Users/jenny/resources/R/library,1.10,NA,3.5.0
revdepcheck,/Users/jenny/resources/R/library,1.0.0.9000,NA,3.5.1
rex,/Users/jenny/resources/R/library,1.1.2,NA,3.5.0
rgeos,/Users/jenny/resources/R/library,0.4-2,NA,3.5.0
rgexf,/Users/jenny/resources/R/library,0.15.3,NA,3.5.0
rgl,/Users/jenny/resources/R/library,0.99.16,NA,3.5.0
rhub,/Users/jenny/resources/R/library,1.0.2,NA,3.5.0
rio,/Users/jenny/resources/R/library,0.5.10,NA,3.5.0
rJava,/Users/jenny/resources/R/library,0.9-10,NA,3.5.0
RJSONIO,/Users/jenny/resources/R/library,1.3-0,NA,3.5.0
rlang,/Users/jenny/resources/R/library,0.3.1,NA,3.5.2
rmarkdown,/Users/jenny/resources/R/library,1.11,NA,3.5.0
rngWELL,/Users/jenny/resources/R/library,0.10-5,NA,3.5.0
robust,/Users/jenny/resources/R/library,0.4-18,NA,3.5.0
robustbase,/Users/jenny/resources/R/library,0.93-3,NA,3.5.0
ROCR,/Users/jenny/resources/R/library,1.0-7,NA,3.5.0
Rook,/Users/jenny/resources/R/library,1.1-1,NA,3.5.0
roxygen2,/Users/jenny/resources/R/library,6.1.1,NA,3.5.0
rprojroot,/Users/jenny/resources/R/library,1.3-2,NA,3.5.0
rrcov,/Users/jenny/resources/R/library,1.4-7,NA,3.5.0
rsample,/Users/jenny/resources/R/library,0.0.3,NA,3.5.1
rsconnect,/Users/jenny/resources/R/library,0.8.12,NA,3.5.1
RSiena,/Users/jenny/resources/R/library,1.2-12,NA,3.5.0
RSQLite,/Users/jenny/resources/R/library,2.1.1,NA,3.5.0
rstan,/Users/jenny/resources/R/library,2.18.2,NA,3.5.0
rstanarm,/Users/jenny/resources/R/library,2.18.2,NA,3.5.0
rstantools,/Users/jenny/resources/R/library,1.5.1,NA,3.5.0
rstudioapi,/Users/jenny/resources/R/library,0.9.0,NA,3.5.2
rsvg,/Users/jenny/resources/R/library,1.3,NA,3.5.0
Rttf2pt1,/Users/jenny/resources/R/library,1.3.7,NA,3.5.0
rvest,/Users/jenny/resources/R/library,0.3.2,NA,3.5.0
sandwich,/Users/jenny/resources/R/library,2.5-0,NA,3.5.0
scales,/Users/jenny/resources/R/library,1.0.0,NA,3.5.0
scatterplot3d,/Users/jenny/resources/R/library,0.3-41,NA,3.5.0
selectr,/Users/jenny/resources/R/library,0.4-1,NA,3.5.0
servr,/Users/jenny/resources/R/library,0.11,NA,3.5.0
sessioninfo,/Users/jenny/resources/R/library,1.1.1,NA,3.5.1
shiny,/Users/jenny/resources/R/library,1.2.0,NA,3.5.0
shinyjs,/Users/jenny/resources/R/library,1.0,NA,3.5.0
shinystan,/Users/jenny/resources/R/library,2.5.0,NA,3.5.0
shinythemes,/Users/jenny/resources/R/library,1.1.2,NA,3.5.0
showtext,/Users/jenny/resources/R/library,0.5-1,NA,3.5.0
showtextdb,/Users/jenny/resources/R/library,2.0,NA,3.5.0
slackr,/Users/jenny/resources/R/library,1.4.2,NA,3.5.0
sna,/Users/jenny/resources/R/library,2.4,NA,3.5.0
snakecase,/Users/jenny/resources/R/library,0.9.2,NA,3.5.0
sourcetools,/Users/jenny/resources/R/library,0.1.7,NA,3.5.0
sp,/Users/jenny/resources/R/library,1.3-1,NA,3.5.0
SparseM,/Users/jenny/resources/R/library,1.77,NA,3.5.0
